#Truth,bilat_40_mean,bilat_60_mean,bilat_80_mean,gauss_40_mean,gauss_60_mean,gauss_80_mean,mean10_40_mean,mean10_60_mean,mean10_80_mean,mean_40_mean,mean_60_mean,mean_80_mean,median_40_mean,median_60_mean,median_80_mean,org_40_mean,org_60_mean,org_80_mean,bilat_40_variance,bilat_60_variance,bilat_80_variance,gauss_40_variance,gauss_60_variance,gauss_80_variance,mean10_40_variance,mean10_60_variance,mean10_80_variance,mean_40_variance,mean_60_variance,mean_80_variance,median_40_variance,median_60_variance,median_80_variance,org_40_variance,org_60_variance,org_80_variance,bilat_40_error,bilat_60_error,bilat_80_error,gauss_40_error,gauss_60_error,gauss_80_error,mean10_40_error,mean10_60_error,mean10_80_error,mean_40_error,mean_60_error,mean_80_error,median_40_error,median_60_error,median_80_error,org_40_error,org_60_error,org_80_error,bilat_40_absError,bilat_60_absError,bilat_80_absError,gauss_40_absError,gauss_60_absError,gauss_80_absError,mean10_40_absError,mean10_60_absError,mean10_80_absError,mean_40_absError,mean_60_absError,mean_80_absError,median_40_absError,median_60_absError,median_80_absError,org_40_absError,org_60_absError,org_80_absError
0.6,0.60675880120646564,0.60673464305939218,0.60677742188976658,0.60675484593957663,0.60673398710787296,0.60678198068372668,0.60675355839350864,0.60672794542615371,0.6067747435872517,0.60678501613438129,0.60677204467356205,0.60678933188319206,0.60679784897835021,0.60677260719239712,0.60680162999778986,0.60675267756931361,0.60672996063081042,0.60676138173966176,8.4124311161559717e-07,8.5186522724711722e-07,9.5534475908957229e-07,9.9265481924615619e-07,9.9148329280041025e-07,1.0777500223881478e-06,1.246517022370845e-06,1.2187558020571032e-06,1.2843988379529492e-06,1.0577100276408138e-06,1.0481481140800497e-06,1.144421296137279e-06,1.3768433539951275e-06,1.3336240591854676e-06,1.3922944944052658e-06,1.4526338811756143e-06,1.4164330544019776e-06,1.477905718116196e-06,0.0067588012064656589,0.006734643059392198,0.0067774218897665994,0.006754845939576648,0.0067339871078729852,0.0067819806837267071,0.0067535583935086629,0.0067279454261537364,0.0067747435872517192,0.0067850161343813165,0.0067720446735620721,0.0067893318831920846,0.0067978489783502294,0.0067726071923971398,0.006801629997789882,0.0067526775693136365,0.0067299606308104387,0.006761381739661787,0.0067588012064656589,0.006734643059392198,0.0067774218897665994,0.006754845939576648,0.0067339871078729852,0.0067819806837267071,0.0067535583935086629,0.0067279454261537364,0.0067747435872517192,0.0067850161343813165,0.0067720446735620721,0.0067893318831920846,0.0067978489783502294,0.0067726071923971398,0.006801629997789882,0.0067526775693136365,0.0067299606308104387,0.006761381739661787
0.8,0.8030950409262928,0.80317425816806398,0.80330852163371758,0.80309269393699756,0.80316959688628931,0.80331138078717212,0.80309204231290254,0.80316706440028018,0.80331420021898603,0.80303575681603478,0.80312458760496497,0.80329390798789868,0.80309777829184459,0.80317233438077185,0.8033260927684065,0.80308831001029291,0.80316327599918136,0.80331341659321509,2.6001786622693041e-07,3.5752126705844695e-07,6.296704335844489e-07,3.1734390404380974e-07,4.1471590369231609e-07,6.8949503459936836e-07,4.3523864422346326e-07,5.2701729758985538e-07,8.1605845806457777e-07,3.8965842340194679e-07,5.0241445673025842e-07,7.8542218370242137e-07,5.3334074486290617e-07,6.2537422645223361e-07,9.1476506152353816e-07,5.4136386834817821e-07,6.336823229753793e-07,9.271544891308782e-07,0.0030950409262927581,0.003174258168063937,0.0033085216337175316,0.0030926939369975148,0.003169596886289261,0.0033113807871720802,0.0030920423129024988,0.0031670644002801396,0.0033142002189859854,0.0030357568160347403,0.0031245876049649235,0.0032939079878986366,0.003097778291844544,0.0031723343807718019,0.0033260927684064523,0.0030883100102928607,0.0031632759991813142,0.0033134165932150461,0.0030950409262927581,0.003174258168063937,0.0033085216337175316,0.0030926939369975148,0.003169596886289261,0.0033113807871720802,0.0030920423129024988,0.0031670644002801396,0.0033142002189859854,0.0030357568160347403,0.0031245876049649235,0.0032939079878986366,0.003097778291844544,0.0031723343807718019,0.0033260927684064523,0.0030883100102928607,0.0031632759991813142,0.0033134165932150461
1.0,1.0011710705179158,1.0012811729402253,1.0014054847486091,1.0011695374303788,1.0012770119835348,1.0014056671749463,1.0011662636230241,1.0012690736286676,1.0014045363041892,1.0011214368483599,1.0012187256532556,1.0013616067521713,1.0011841618653499,1.001287076403113,1.0014145742444431,1.0011651142319637,1.0012693938924306,1.0013990847032461,1.5855776412616466e-06,1.3720245833197127e-06,1.5589280705545901e-06,1.8152210190457867e-06,1.5669630037431924e-06,1.7417438688095321e-06,2.3153845364397377e-06,2.0331226686952261e-06,2.1652786719695381e-06,2.3071441034123529e-06,1.9970478470387366e-06,2.1077062297770297e-06,2.6158227930917587e-06,2.2996105880177791e-06,2.3992054001141558e-06,2.66165052176911e-06,2.3385185573608716e-06,2.4470540625064934e-06,0.0011710705179157621,0.0012811729402253391,0.0014054847486091315,0.0011695374303788419,0.0012770119835348037,0.001405667174946279,0.0011662636230240775,0.0012690736286675719,0.0014045363041892411,0.001121436848359858,0.0012187256532556479,0.0013616067521713404,0.0011841618653498642,0.0012870764031129855,0.0014145742444431342,0.0011651142319637486,0.0012693938924306369,0.0013990847032461229,0.0011710705179157621,0.0012811729402253391,0.0014054847486091315,0.0011695374303788419,0.0012770119835348037,0.001405667174946279,0.0011662636230240775,0.0012690736286675719,0.0014045363041892411,0.001121436848359858,0.0012187256532556479,0.0013616067521713404,0.0011841618653498642,0.0012870764031129855,0.0014145742444431342,0.0011651142319637486,0.0012693938924306369,0.0013990847032461229
1.2,1.2006097254545793,1.2009566555852476,1.2014631171157395,1.2006133079528809,1.2009521859032768,1.2014646271000737,1.200631654780844,1.2009444461352583,1.2014774602392446,1.2005603739193507,1.2009407503264291,1.2014424034527369,1.2006738738737244,1.2009886213711329,1.2015172532626561,1.2006380132266454,1.2009465279786482,1.2014721044595691,5.1463176467742805e-06,4.5032018013963746e-06,4.9806858506074181e-06,5.7356628597029857e-06,5.065321842526568e-06,5.5289332772519915e-06,7.0128570031016171e-06,6.3083294077971781e-06,6.7217174741277368e-06,7.1149237213092791e-06,6.2550153610832891e-06,6.626773720990573e-06,7.7243935915508436e-06,7.0250469564468532e-06,7.4798622929096305e-06,7.8284573040339946e-06,7.1472494060539507e-06,7.6064131027796185e-06,0.00060972545457937954,0.00095665558524760108,0.0014631171157395428,0.00061330795288094819,0.0009521859032768365,0.0014646271000737787,0.00063165478084403759,0.00094444613525834775,0.0014774602392446656,0.00056037391935070957,0.00094075032642915168,0.00144240345273694,0.00067387387372441765,0.00098862137113298054,0.0015172532626561708,0.000638013226645473,0.00094652797864824834,0.0014721044595691346,0.00060972545457937954,0.00095665558524760108,0.0014631171157395428,0.00061330795288094819,0.0009521859032768365,0.0014646271000737787,0.00063165478084403759,0.00094444613525834775,0.0014774602392446656,0.00056037391935070957,0.00094075032642915168,0.00144240345273694,0.00067387387372441765,0.00098862137113298054,0.0015172532626561708,0.000638013226645473,0.00094652797864824834,0.0014721044595691346
1.4,1.4012890194283156,1.4016160710913237,1.4022239954745184,1.4012883094049269,1.401602029800415,1.4022307005084929,1.4012313812009749,1.4015295313250633,1.4021948672110034,1.4012410275397762,1.4016023682009788,1.4022049392972673,1.401330328378521,1.4016099245317521,1.4022707579627869,1.4012991324547799,1.4015888725557635,1.4022165210016313,7.8239461309128694e-06,8.5119543536031839e-06,9.5380286211366183e-06,9.3513463369043941e-06,1.0035133131637966e-05,1.0857716155382538e-05,1.2557787736041641e-05,1.3273725706371366e-05,1.3903371880939719e-05,1.1624841121257276e-05,1.2821624396666368e-05,1.3077068555891155e-05,1.4134872871513908e-05,1.4996501807129995e-05,1.5521174243419453e-05,1.4402135064066838e-05,1.5317085223115656e-05,1.5801122748187835e-05,0.0012890194283157186,0.0016160710913237786,0.0022239954745184587,0.0012883094049269683,0.0016020298004151279,0.0022307005084929443,0.0012313812009749903,0.0015295313250633935,0.0021948672110034817,0.0012410275397762849,0.0016023682009789209,0.0022049392972673942,0.0013303283785210951,0.0016099245317522382,0.0022707579627869734,0.0012991324547799721,0.0015888725557635652,0.0022165210016313885,0.0012890194283157186,0.0016160710913237786,0.0022239954745184587,0.0012883094049269683,0.0016020298004151279,0.0022307005084929443,0.0012313812009749903,0.0015295313250633935,0.0021948672110034817,0.0012410275397762849,0.0016023682009789209,0.0022049392972673942,0.0013303283785210951,0.0016099245317522382,0.0022707579627869734,0.0012991324547799721,0.0015888725557635652,0.0022165210016313885
1.6,1.6018154067052921,1.6021538099772494,1.6023857444524765,1.6018197993709617,1.602155907513344,1.6023888803190656,1.6018156635929162,1.60214462508894,1.6023692725455925,1.6018351496082464,1.6020984257737252,1.6022720143601701,1.6019043939214357,1.6022092152948249,1.6024255398157481,1.6018200622846002,1.6021648890351596,1.6023804471917349,6.3207552345487136e-06,6.4135572112415202e-06,7.0757755197150431e-06,7.9749382896640696e-06,7.7847547588247195e-06,8.3243187386677822e-06,1.1606073239319862e-05,1.0890451349415307e-05,1.1171685637485982e-05,9.6819229339147766e-06,9.8245190865536391e-06,1.0474261190966887e-05,1.3866436568826651e-05,1.2770569212503463e-05,1.302743445373547e-05,1.4037854009374103e-05,1.2981020069536785e-05,1.3177638135097716e-05,0.0018154067052920109,0.0021538099772493435,0.0023857444524764126,0.0018197993709616611,0.0021559075133439354,0.0023888803190654784,0.0018156635929160725,0.0021446250889398666,0.0023692725455923824,0.0018351496082462671,0.0020984257737250989,0.0022720143601699938,0.0019043939214355987,0.0022092152948247623,0.0024255398157480013,0.0018200622846000769,0.0021648890351595451,0.0023804471917348025,0.0018154067052920109,0.0021538099772493435,0.0023857444524764126,0.0018197993709616611,0.0021559075133439354,0.0023888803190654784,0.0018156635929160725,0.0021446250889398666,0.0023692725455923824,0.0018351496082462671,0.0020984257737250989,0.0022720143601699938,0.0019043939214355987,0.0022092152948247623,0.0024255398157480013,0.0018200622846000769,0.0021648890351595451,0.0023804471917348025
1.8,1.8009002485137056,1.8022199523621711,1.8026772858440012,1.8008899567783743,1.8022229274113972,1.802663132764291,1.8008462751612944,1.8022067774744595,1.8026249305061672,1.8005115001097969,1.8021668247554614,1.8026276435170854,1.8009002331425161,1.8022839781166851,1.8027078100613185,1.8008632590805276,1.8022409176480942,1.8026563689328623,1.5202156330064019e-05,1.3294836260657588e-05,1.3665342807403899e-05,1.7292923811349765e-05,1.5067942394639628e-05,1.5480362676231272e-05,2.2904978191102113e-05,1.9528043950508025e-05,1.9658099636612661e-05,2.3277673355313826e-05,1.9639521893363313e-05,1.9741492932927725e-05,2.6344949349420078e-05,2.2205645333430596e-05,2.2303513426724001e-05,2.664134225436582e-05,2.2773249324730031e-05,2.2801041883640745e-05,0.00090024851370551495,0.0022199523621710959,0.002677285844001176,0.00088995677837422349,0.0022229274113971798,0.0026631327642909763,0.00084627516129431868,0.0022067774744594093,0.002624930506167189,0.00051150010979683636,0.0021668247554613718,0.0026276435170853318,0.00090023314251608255,0.0022839781166850148,0.002707810061318483,0.00086325908052753419,0.0022409176480941984,0.002656368932862252,0.00090024851370551495,0.0022199523621710959,0.002677285844001176,0.00088995677837422349,0.0022229274113971798,0.0026631327642909763,0.00084627516129431868,0.0022067774744594093,0.002624930506167189,0.00051150010979683636,0.0021668247554613718,0.0026276435170853318,0.00090023314251608255,0.0022839781166850148,0.002707810061318483,0.00086325908052753419,0.0022409176480941984,0.002656368932862252
2.0,2.0106593780830258,2.0114006566219644,2.0115378762854905,2.0106605915796187,2.0114069666181291,2.0115382984036305,2.0106817906902683,2.0114149701210762,2.0115114296636274,2.0105014452858576,2.0112063354916043,2.0113608988504561,2.0107408312500499,2.0114688154250855,2.0115706012362526,2.0106753380067888,2.0114119398978447,2.0114978282682356,2.753318273919701e-05,2.4171877992587531e-05,2.3235939056215262e-05,2.8818398307327592e-05,2.5673950735908298e-05,2.492145820903462e-05,3.1725808361032604e-05,2.9294039320250575e-05,2.8729082779526444e-05,3.0787707117500731e-05,2.9988389845433023e-05,2.9898493669518714e-05,3.375806472687391e-05,3.1573762801902681e-05,3.1411502158200582e-05,3.4272010746081508e-05,3.2266615490366274e-05,3.1987475208992576e-05,0.01065937808302575,0.011400656621964433,0.011537876285490523,0.010660591579618739,0.011406966618129122,0.01153829840363052,0.010681790690268311,0.011414970121076173,0.011511429663627393,0.010501445285857613,0.011206335491604325,0.011360898850456103,0.010740831250049876,0.011468815425085488,0.011570601236252642,0.01067533800678877,0.011411939897844725,0.011497828268235644,0.01065937808302575,0.011400656621964433,0.011537876285490523,0.010660591579618739,0.011406966618129122,0.01153829840363052,0.010681790690268311,0.011414970121076173,0.011511429663627393,0.010501445285857613,0.011206335491604325,0.011360898850456103,0.010740831250049876,0.011468815425085488,0.011570601236252642,0.01067533800678877,0.011411939897844725,0.011497828268235644
