%time,field.data
1448553143394518504,4.90906677442e-05
1448553143490672777,4.83314179291e-05
1448553143598107392,4.98335321026e-05
1448553143695841914,4.85058335471e-05
1448553143794155783,4.90964448545e-05
1448553143888707517,4.94089217682e-05
1448553143985443440,4.81390961795e-05
1448553144089629378,4.85863711219e-05
1448553144185973866,4.86568205815e-05
1448553144286630443,4.71740204375e-05
1448553144378847546,4.74259577459e-05
1448553144487357557,4.98858753417e-05
1448553144588870527,4.72401334264e-05
1448553144687084725,5.03323863086e-05
1448553144793796441,4.74730622955e-05
1448553144891219919,5.04113886564e-05
1448553144980768772,4.80722810607e-05
1448553145098887511,4.96606226079e-05
1448553145187271755,4.74514599773e-05
1448553145280393893,4.82923460368e-05
1448553145392918244,4.95252897963e-05
1448553145498379247,4.96163629577e-05
1448553145582810783,4.75854394608e-05
1448553145692458060,4.8123729357e-05
1448553145776978676,4.86087046738e-05
1448553145887748565,4.93846018799e-05
1448553145975661706,4.92782819492e-05
1448553146083410726,4.83989606437e-05
1448553146181719619,5.10064128321e-05
1448553146279348619,5.17743865203e-05
1448553146379083878,5.11527032359e-05
1448553146485545243,4.79190130136e-05
1448553146585880617,4.92163708259e-05
1448553146685384988,5.01971444464e-05
1448553146787437660,4.96061329613e-05
1448553146887956264,4.9502159527e-05
1448553146990892047,4.8696900194e-05
1448553147093022999,4.87913348479e-05
1448553147188948730,5.00831592944e-05
1448553147291050714,4.90258789796e-05
1448553147386023591,4.92706640216e-05
1448553147488526902,4.99050329381e-05
1448553147590816760,4.84205047542e-05
1448553147683966880,5.07858712808e-05
1448553147787552172,4.84500196762e-05
1448553147889576666,4.90191705467e-05
1448553147983251282,4.92736326123e-05
1448553148092042646,4.99209672853e-05
1448553148189670315,5.09658893861e-05
1448553148292367062,4.67694080726e-05
1448553148395558900,5.03225746797e-05
1448553148477116340,5.10524187121e-05
1448553148583119492,5.00239839312e-05
1448553148684268314,5.11534708494e-05
1448553148880965882,4.96673346788e-05
1448553148982044509,4.97826986248e-05
1448553149110448520,5.11163234478e-05
1448553149209365613,5.17636399309e-05
1448553149308975085,4.96418397233e-05
1448553149409256199,4.92067701998e-05
1448553149509566332,4.81835377286e-05
1448553149609777208,4.88446930831e-05
1448553149708075767,4.80152630189e-05
1448553149889441731,4.83994881506e-05
1448553149985417611,5.01717404404e-05
1448553150091262887,4.95090898767e-05
1448553150188345726,4.86846729473e-05
1448553150283770067,4.99849120388e-05
1448553150405885197,4.61539966636e-05
1448553150483962256,4.92119070259e-05
1448553150591026914,4.95530039188e-05
1448553150708069368,5.15870342497e-05
1448553150883559020,5.17625448992e-05
1448553150998428339,5.07538425154e-05
1448553151093955253,5.06537871843e-05
1448553151187049700,5.2091323596e-05
1448553151287630107,5.19096356584e-05
1448553151389759474,5.11708349222e-05
1448553151508613092,5.05559328303e-05
1448553151674227959,4.94310770591e-05
1448553151787391959,5.03295996168e-05
1448553151907735361,4.88004407089e-05
1448553152008167058,4.83974108647e-05
1448553152108170395,4.94181003887e-05
1448553152207781495,4.99285961268e-05
1448553152308132379,5.0554266636e-05
1448553152408455735,4.9907794164e-05
1448553152515294756,4.88868536195e-05
1448553152690097438,5.06753567606e-05
1448553152808078890,4.97931941936e-05
1448553152907961389,4.88959631184e-05
1448553153013324998,4.69088809041e-05
1448553153184819788,4.98767076351e-05
1448553153308480101,4.82509894937e-05
1448553153407978721,5.00337773701e-05
1448553153508647109,4.79418959003e-05
1448553153608319702,4.96626380482e-05
1448553153707947071,4.85485034005e-05
1448553153808513615,4.96361208207e-05
1448553153907908549,4.82507202832e-05
1448553154008127060,4.85367381771e-05
1448553154108182374,4.66075180157e-05
1448553154218707757,4.86808567075e-05
1448553154322128286,4.9017227866e-05
1448553154407946499,4.79244117741e-05
1448553154508145075,5.04345662193e-05
1448553154607874088,4.90433740197e-05
1448553154708429970,4.70237573609e-05
1448553154809523146,5.06231735926e-05
1448553154908233668,4.99092493556e-05
1448553155007855090,4.80946728203e-05
1448553155108099332,4.76617788081e-05
1448553155207802405,4.78427427879e-05
1448553155308465550,4.88102341478e-05
1448553155408078900,4.66160054202e-05
1448553155507788893,5.0237045798e-05
1448553155608539719,4.9253772886e-05
1448553155718950968,4.63692413177e-05
1448553155813164661,4.98206936754e-05
1448553155978520680,4.62428652099e-05
1448553156108192040,5.05332754983e-05
1448553156208961766,4.95966778544e-05
1448553156308500590,5.01243630424e-05
