%time,field.data
1448552893908543752,1.34239407998e-05
1448552894010107003,1.35655500344e-05
1448552894108718112,1.33664370878e-05
1448552894208210810,1.37551760417e-05
1448552894309942883,1.38849400173e-05
1448552894408626348,1.35150185088e-05
1448552894509605311,1.35877180583e-05
1448552894609037213,1.32926988954e-05
1448552894718149883,1.35351156132e-05
1448552894822316992,1.34133206302e-05
1448552894918457849,1.41053014886e-05
1448552895018862403,1.40051661219e-05
1448552895107911889,1.30355956571e-05
1448552895208440706,1.37048800752e-05
1448552895308264647,1.40325000757e-05
1448552895482015886,1.36040434882e-05
1448552895598160876,1.3445453078e-05
1448552895683431860,1.37686329253e-05
1448552895810022623,1.37505057864e-05
1448552895909477806,1.36416301757e-05
1448552896076663674,1.32697678055e-05
1448552896185768097,1.30473063109e-05
1448552896283171572,1.4063008166e-05
1448552896385940265,1.38462792165e-05
1448552896487369177,1.4049092897e-05
1448552896591582816,1.3304521417e-05
1448552896689515734,1.3860526451e-05
1448552896786646553,1.39010880957e-05
1448552896888859614,1.36701046358e-05
1448552896982896935,1.33783332785e-05
1448552897091806655,1.35409427457e-05
1448552897209172214,1.32087761813e-05
1448552897375074456,1.300540589e-05
1448552897476131955,1.29191057567e-05
1448552897608894421,1.31708820845e-05
1448552897708478377,1.33974272103e-05
1448552897808770452,1.26466793517e-05
1448552897985064936,1.37842662298e-05
1448552898084465668,1.31280867208e-05
1448552898209131947,1.29726904561e-05
1448552898313018453,1.29776708491e-05
1448552898414280031,1.32841614686e-05
1448552898513171575,1.3818133084e-05
1448552898614047609,1.31830320242e-05
1448552898713592371,1.3213539205e-05
1448552898814588676,1.29414311232e-05
1448552898914053312,1.31575061459e-05
1448552899014217494,1.30804883156e-05
1448552899117179138,1.36413473228e-05
1448552899214743693,1.36041171572e-05
1448552899315830960,1.37817414725e-05
1448552899415000617,1.31764581965e-05
1448552899513367606,1.31974820761e-05
1448552899617753572,1.32087552629e-05
1448552899719691755,1.37558381539e-05
1448552899814103050,1.32058548843e-05
1448552899986296439,1.38233926918e-05
1448552900088605526,1.42208573379e-05
1448552900189377966,1.36066173582e-05
1448552900293286612,1.34804613481e-05
1448552900387760931,1.38487221193e-05
1448552900481225027,1.36168855533e-05
1448552900586492261,1.3157237845e-05
1448552900688902427,1.37673305289e-05
1448552900791160298,1.34043593789e-05
1448552900879109618,1.37612123581e-05
1448552900983814212,1.38127061291e-05
1448552901088948072,1.38627938213e-05
1448552901177535619,1.37420784085e-05
1448552901279446724,1.36509215736e-05
1448552901393041782,1.39745607157e-05
1448552901506946083,1.36635308081e-05
1448552901673038596,1.35198552016e-05
1448552901778743790,1.43478227983e-05
1448552901880997199,1.4525550796e-05
1448552901984417454,1.36764410854e-05
1448552902079657114,1.34930023705e-05
1448552902177803673,1.40465626828e-05
1448552902298011723,1.35418049467e-05
1448552902389000927,1.39414587466e-05
1448552902491725499,1.42315657286e-05
1448552902589070395,1.41295849971e-05
1448552902693770151,1.43089982885e-05
1448552902785121928,1.37049928526e-05
1448552902912569987,1.38013410833e-05
1448552903008266507,1.41840828292e-05
1448552903181404273,1.38109744512e-05
1448552903273655704,1.37500046549e-05
1448552903385352888,1.42092339956e-05
1448552903485763868,1.37275137604e-05
1448552903578805870,1.33184867082e-05
1448552903688640275,1.39895737448e-05
1448552903808775919,1.38905115818e-05
1448552903991461655,1.4416114027e-05
1448552904082647958,1.39471476359e-05
1448552904220482966,1.36877406476e-05
1448552904330364211,1.39393841891e-05
1448552904407703386,1.37815077323e-05
1448552904585318791,1.35209347718e-05
1448552904700395117,1.3259287698e-05
1448552904793995391,1.43279785334e-05
1448552904909004407,1.37761007863e-05
1448552905008366245,1.42829439937e-05
1448552905109148053,1.38754285217e-05
1448552905209642352,1.36642147481e-05
1448552905309819600,1.41295622598e-05
1448552905408074987,1.39875837704e-05
1448552905507864890,1.40950851346e-05
1448552905690136579,1.40892161653e-05
1448552905808581454,1.37163433465e-05
1448552905987252890,1.3870924704e-05
1448552906108030013,1.3723722077e-05
1448552906208841353,1.34273432195e-05
1448552906308225405,1.37374890983e-05
1448552906410545374,1.38603336381e-05
1448552906508256857,1.38045488711e-05
1448552906608031692,1.40921874845e-05
1448552906709204776,1.40306319736e-05
1448552906808928359,1.4527082385e-05
1448552906908685386,1.37982415254e-05
1448552907008930671,1.40863812703e-05
1448552907113009255,1.45630638144e-05
1448552907287152891,1.50673340613e-05
1448552907408308233,1.44264467963e-05
1448552907511362579,1.45719213833e-05
1448552907688993479,1.42521339512e-05
1448552907808484946,1.43612369357e-05
1448552907907786808,1.47785276567e-05
1448552908007914073,1.42442340803e-05
1448552908107857154,1.40586780617e-05
1448552908208611748,1.44651094161e-05
1448552908310507206,1.420008266e-05
1448552908414163380,1.41627097037e-05
1448552908587178802,1.52473576236e-05
1448552908716740658,1.41792061186e-05
1448552908892327678,1.37472834467e-05
1448552909008768451,1.38021096063e-05
1448552909109932368,1.35371183205e-05
1448552909210681931,1.40401989484e-05
1448552909308294583,1.34668825922e-05
1448552909409444236,1.41707769217e-05
1448552909508492537,1.37601437018e-05
1448552909608134818,1.4178107449e-05
1448552909708390806,1.41900964081e-05
1448552909807742913,1.36955477501e-05
1448552909907948186,1.3926869542e-05
1448552910008257498,1.37978740895e-05
1448552910107799808,1.40502534123e-05
1448552910207794209,1.38396635521e-05
1448552910308753776,1.40585534609e-05
1448552910407870073,1.37102724693e-05
