%time,field.data
1448553046314399636,3.29258909915e-05
1448553046409063886,3.4054810385e-05
1448553046507995250,3.39685357176e-05
1448553046608439832,3.32595300279e-05
1448553046710203024,3.32544150297e-05
1448553046810660421,3.33864009008e-05
1448553046910943537,3.28872629325e-05
1448553047008546046,3.39106591127e-05
1448553047112511712,3.40945116477e-05
1448553047209324979,3.40780752595e-05
1448553047308478590,3.35480108333e-05
1448553047408679700,3.35236254614e-05
1448553047508162578,3.39426733262e-05
1448553047683720396,3.30078182742e-05
1448553047783613779,3.40372207575e-05
1448553047882220268,3.25951623381e-05
1448553047986602482,3.2251002267e-05
1448553048097710934,3.33277821483e-05
1448553048280706369,3.37787387252e-05
1448553048384955769,3.44744330505e-05
1448553048484096541,3.35621552949e-05
1448553048585030550,3.34412834491e-05
1448553048684678711,3.34282085532e-05
1448553048788279557,3.39958278346e-05
1448553048913608457,3.35990953317e-05
1448553049009277262,3.4845652408e-05
1448553049185329119,3.30904695147e-05
1448553049283273349,3.3131269447e-05
1448553049388030702,3.44322179444e-05
1448553049490389842,3.41907762049e-05
1448553049588287545,3.19211685564e-05
1448553049693757971,3.27967682097e-05
1448553049792722649,3.25086293742e-05
1448553049890223270,3.30002367264e-05
1448553049983925271,3.2478288631e-05
1448553050078853255,3.28630194417e-05
1448553050182646119,3.23675412801e-05
1448553050307908251,3.26679364662e-05
1448553050413617884,3.39783400705e-05
1448553050511804904,3.49878719135e-05
1448553050612415592,3.37106102961e-05
1448553050717431132,3.17152371281e-05
1448553050813252124,3.38076060871e-05
1448553050912300765,3.33369061991e-05
1448553051013480233,3.43429928762e-05
1448553051112757002,3.21968364005e-05
1448553051215837964,3.32893505401e-05
1448553051315088479,3.41766608472e-05
1448553051413068956,3.22114065057e-05
1448553051514756263,3.29994254571e-05
1448553051616360426,3.57744029316e-05
1448553051716363451,3.45069493051e-05
1448553051814682495,3.35190961778e-05
1448553051914867945,3.53236027877e-05
1448553052013182213,3.58083962055e-05
1448553052113529108,3.47829336533e-05
1448553052218010461,3.40692786267e-05
1448553052330685311,3.38244062732e-05
1448553052441395758,3.43450665241e-05
1448553052654122666,3.38582285622e-05
1448553052752907890,3.36040793627e-05
1448553052857860866,3.54901785613e-05
1448553052963404328,3.36439115927e-05
1448553053048337472,3.40206643159e-05
1448553053145380910,3.38109675795e-05
1448553053298307896,3.40381848218e-05
1448553053391297742,3.46869637724e-05
1448553053477648356,3.30084731104e-05
1448553053587522047,3.30312104779e-05
1448553053688731054,3.35853837896e-05
1448553053776497427,3.31475603161e-05
1448553053911355702,3.30092007061e-05
1448553054084531848,3.43225838151e-05
1448553054186917721,3.60020276275e-05
1448553054275372141,3.21080260619e-05
1448553054388533036,3.46563392668e-05
1448553054477545497,3.40325677826e-05
1448553054587602813,3.21544466715e-05
1448553054673685186,3.39373109455e-05
1448553054781931241,3.42354505847e-05
1448553054884516887,3.28737260133e-05
1448553054989642319,3.34149626724e-05
1448553055091379929,3.19608079735e-05
1448553055193678262,3.54031799361e-05
1448553055292094382,3.38847930834e-05
1448553055379153591,3.39536345564e-05
1448553055483454061,3.32414165314e-05
1448553055585016983,3.34886863129e-05
1448553055687015633,3.34440010192e-05
1448553055789594575,3.39451944456e-05
1448553055881055879,3.47014356521e-05
1448553055991695008,3.3543779864e-05
1448553056085844646,3.47402346961e-05
1448553056195214100,3.44064574165e-05
1448553056314474237,3.29986687575e-05
1448553056423232047,3.40806727763e-05
1448553056527103124,3.37210331054e-05
1448553056625718821,3.47551613231e-05
1448553056707800274,3.552130147e-05
1448553056887218702,3.38591598847e-05
1448553056988303804,3.52123861376e-05
1448553057089484274,3.35150798492e-05
1448553057210684305,3.38304926117e-05
1448553057310658870,3.43112442351e-05
1448553057412613424,3.41581217072e-05
1448553057512337369,3.36231933034e-05
1448553057612222678,3.3780324884e-05
1448553057714844623,3.35346085194e-05
1448553057811206569,3.41494633176e-05
1448553057910297102,3.28664609697e-05
1448553058010119092,3.44405816577e-05
1448553058110879721,3.28564819938e-05
1448553058208617740,3.41624654538e-05
1448553058308436901,3.4101838537e-05
1448553058408353306,3.3452452044e-05
1448553058516840178,3.31552582793e-05
1448553058614514215,3.56588279828e-05
1448553058712083903,3.44777108694e-05
1448553058880906688,3.5763518099e-05
1448553058996277334,3.31459013978e-05
