%time,field.data
1448552617840831839,2.01319335247e-06
1448552617947744211,1.9042695385e-06
1448552618026934067,1.9353319658e-06
1448552618118147644,2.05677406484e-06
1448552618215334918,1.99568876269e-06
1448552618314581909,1.99095461539e-06
1448552618413986166,2.05517108043e-06
1448552618515088300,1.90134824152e-06
1448552618628916376,1.9274357328e-06
1448552618718789184,1.87664761597e-06
1448552618815480984,2.00467707145e-06
1448552618909865966,2.16884586735e-06
1448552619007756746,2.00407544071e-06
1448552619112934586,2.01395641852e-06
1448552619207857874,2.13483826883e-06
1448552619308337791,2.05015498977e-06
1448552619409308996,1.94160816136e-06
1448552619508160597,2.02336468647e-06
1448552619609013013,2.13751400224e-06
1448552619708262082,1.99688747671e-06
1448552619807814514,2.01572561309e-06
1448552619907763915,1.98324823941e-06
1448552620007843961,2.02872024602e-06
1448552620108292967,2.11488486457e-06
1448552620208856145,2.09574636756e-06
1448552620309687261,2.06955360227e-06
1448552620408107998,1.97525423573e-06
1448552620508755856,2.16631883632e-06
1448552620687754692,2.07534776564e-06
1448552620789211448,1.99708915716e-06
1448552620886891825,2.20949709728e-06
1448552620984124437,2.17236993194e-06
1448552621087164978,2.05821402233e-06
1448552621185710294,2.10898747355e-06
1448552621305117700,2.1182790988e-06
1448552621503709771,2.28567569138e-06
1448552621685112175,2.23371921493e-06
1448552621791311908,2.08788878808e-06
1448552621884554703,2.12004056266e-06
1448552621988594204,2.1745529466e-06
1448552622083829675,2.3247214358e-06
1448552622185397880,2.10772327591e-06
1448552622284490572,2.22465041588e-06
1448552622384213829,2.23158144763e-06
1448552622486527242,2.14122314901e-06
1448552622598550803,2.18041031985e-06
1448552622695374443,2.17152205551e-06
1448552622796367950,2.09236395676e-06
1448552622895475396,2.24688210437e-06
1448552622997457537,2.07024277188e-06
1448552623100596308,2.09100244319e-06
1448552623195684925,2.1884995931e-06
1448552623296803507,2.16554872168e-06
1448552623407807580,2.11479027712e-06
1448552623577446969,2.19093931264e-06
1448552623688524699,2.15601448872e-06
1448552623808238973,2.21154709834e-06
1448552623913435280,2.14530905396e-06
1448552624012865986,2.14475403482e-06
1448552624113980821,2.18029799726e-06
1448552624213590922,2.21266054723e-06
1448552624314552613,2.12974896385e-06
1448552624414497496,2.09283894037e-06
1448552624514814941,2.04305820262e-06
1448552624615632807,2.05944797926e-06
1448552624715014913,2.23240294872e-06
1448552624816130788,2.08460096474e-06
1448552624915362031,2.08867595575e-06
1448552625015041636,2.08360961551e-06
1448552625115753830,2.06031791095e-06
1448552625219419097,2.11491214941e-06
1448552625316110685,2.15506042878e-06
1448552625417426500,2.08897563425e-06
1448552625516807048,2.03574290936e-06
1448552625617600898,2.05069181902e-06
1448552625714539260,2.1612661385e-06
1448552625812664252,2.02736987376e-06
1448552625912029276,2.04509478863e-06
1448552626017610010,2.11692395169e-06
1448552626120352972,1.97863573703e-06
1448552626212456744,2.02726164389e-06
1448552626377980299,2.02389787773e-06
1448552626474860368,1.94514723262e-06
1448552626579719447,2.00516956284e-06
1448552626689916636,2.00766885428e-06
1448552626779675357,2.13571411223e-06
1448552626905251480,2.15830755224e-06
1448552626981287851,2.06289200833e-06
1448552627089114976,2.04187404051e-06
1448552627176182146,2.07356947612e-06
1448552627291384778,2.19583967009e-06
1448552627391093780,2.1176813334e-06
1448552627487900885,2.16482317228e-06
1448552627585698083,2.16178909795e-06
1448552627688681575,2.11237647818e-06
1448552627783747241,2.0752306682e-06
1448552627887145332,2.06528397939e-06
1448552627987836755,1.99400983547e-06
1448552628079645681,2.13059661291e-06
1448552628178452761,2.03014747058e-06
1448552628281293948,2.0149257125e-06
1448552628399967772,2.07597076951e-06
1448552628504750906,2.08380606637e-06
1448552628587444362,2.11798419514e-06
1448552628679096716,2.12332611227e-06
1448552628778335225,1.98010275199e-06
1448552628876498983,1.97208669306e-06
1448552628975760792,2.05890819416e-06
1448552629103208365,2.02095179702e-06
1448552629190852288,1.97662484425e-06
1448552629280111380,2.1898945306e-06
1448552629407593079,1.9996825813e-06
1448552629507527464,2.05490550798e-06
1448552629608385669,2.0603554276e-06
1448552629707596373,1.97027611648e-06
1448552629807477631,2.12838449443e-06
1448552629908431597,2.10156008507e-06
1448552630007690505,2.03126023735e-06
1448552630107689321,2.10056055039e-06
1448552630207853879,2.0470772597e-06
1448552630309083317,2.05619789995e-06
1448552630408693130,2.08710298466e-06
1448552630510546845,2.11674364436e-06
1448552630608826352,2.11206861422e-06
1448552630709508157,2.08807341551e-06
1448552630809248458,2.15834097617e-06
1448552630908994711,2.15425598071e-06
1448552631009185112,2.16980492951e-06
1448552631108867349,2.21877871809e-06
1448552631209085488,2.18568948185e-06
1448552631308084657,2.15502291212e-06
1448552631408641632,1.94265476239e-06
1448552631508058233,2.10158168557e-06
1448552631608568346,2.02701380658e-06
1448552631708297506,1.9714661903e-06
1448552631808122645,1.90274545275e-06
1448552631908011910,2.12597115024e-06
1448552632018828066,2.1637122245e-06
1448552632113560817,2.19528101297e-06
1448552632220118509,2.06446361517e-06
1448552632312639243,1.9847218482e-06
1448552632491307178,2.12260283661e-06
1448552632607628569,1.90056721294e-06
1448552632715885663,2.09900804293e-06
1448552632878041469,2.06395975511e-06
1448552632976070952,1.85928718111e-06
1448552633082292189,2.04598222808e-06
1448552633207496576,2.00659792426e-06
1448552633307978138,2.12119925891e-06
1448552633407909240,1.99624287234e-06
1448552633515150095,1.96008591047e-06
1448552633679380384,2.02007004191e-06
1448552633781957747,1.98558950615e-06
1448552633913764755,2.00524777938e-06
1448552634013562717,2.018595751e-06
1448552634113886062,2.15563250094e-06
1448552634214106286,2.06339268516e-06
1448552634313915688,2.22384596782e-06
1448552634407745981,2.0005929855e-06
1448552634508283020,2.06543791137e-06
1448552634607628875,1.99641931431e-06
1448552634708637037,2.11752444557e-06
1448552634807842449,2.04782577384e-06
1448552634908030170,2.17758224608e-06
1448552635007682095,2.04026150641e-06
1448552635108566177,2.07309130928e-06
1448552635207961648,2.13932071347e-06
1448552635307513251,2.11500105252e-06
1448552635407580844,2.17632032218e-06
1448552635507687235,2.02567525776e-06
1448552635607779853,2.08722781281e-06
1448552635707611150,2.05508308682e-06
1448552635807586705,2.10215625884e-06
1448552635911177098,2.01645207198e-06
1448552636007770184,2.0655784283e-06
1448552636107503749,1.87693353837e-06
1448552636207551766,2.10875168705e-06
