%time,field.data
1448552974813400440,1.7841337467e-05
1448552974908006264,1.84621076187e-05
1448552975007986363,1.79436719918e-05
1448552975107940492,1.76818339241e-05
1448552975208214040,1.82812254934e-05
1448552975315650597,1.83572228707e-05
1448552975418381841,1.86646338989e-05
1448552975511732768,1.73806874955e-05
1448552975625707075,1.82199291885e-05
1448552975781019247,1.84443833859e-05
1448552975878206499,1.79250037036e-05
1448552975979965665,1.8236833057e-05
1448552976084991448,1.82177300303e-05
1448552976212200420,1.80799124792e-05
1448552976314028501,1.82963431143e-05
1448552976412285660,1.87790265045e-05
1448552976511708712,1.89539405255e-05
1448552976612567783,1.86424822459e-05
1448552976716771764,1.8632004867e-05
1448552976819862583,1.78127702384e-05
1448552976981153243,1.79297858267e-05
1448552977079405882,1.89396287169e-05
1448552977192138541,1.82546536962e-05
1448552977311996575,1.87467394426e-05
1448552977412910670,1.83166903298e-05
1448552977508006761,1.86674787983e-05
1448552977608001322,1.82424792001e-05
1448552977708074343,1.80741517397e-05
1448552977808274458,1.85375047295e-05
1448552977907540693,1.84355430974e-05
1448552978008491924,1.88432895811e-05
1448552978107604364,1.83855208888e-05
1448552978209282513,1.78881018655e-05
1448552978307835046,1.87068762898e-05
1448552978409235035,1.83279043995e-05
1448552978507825900,1.83122810995e-05
1448552978608001369,1.80859224201e-05
1448552978708041179,1.78880382009e-05
1448552978807997621,1.89632919501e-05
1448552978907904354,1.84029031516e-05
1448552979008007390,1.84333512152e-05
1448552979108055470,1.79577382369e-05
1448552979208481883,1.79828148248e-05
1448552979308348071,1.81066716323e-05
1448552979412353900,1.80459974217e-05
1448552979508717130,1.85185726878e-05
1448552979609185309,1.8309956431e-05
1448552979708849486,1.83216998266e-05
1448552979808435229,1.79532416951e-05
1448552979910948740,1.77759848157e-05
1448552980011009200,1.85508397408e-05
1448552980128591382,1.87119239854e-05
1448552980289811733,1.83574084076e-05
1448552980408921557,1.82286967174e-05
1448552980508557051,1.77853016794e-05
1448552980607868074,1.83531683433e-05
1448552980709588892,1.85051540029e-05
1448552980809067112,1.75211716851e-05
1448552980909873688,1.81082923518e-05
1448552981011284460,1.76704343176e-05
1448552981171934892,1.86025208677e-05
1448552981280632075,1.70852854353e-05
1448552981379401290,1.82268522622e-05
1448552981509590694,1.76455305336e-05
1448552981695197340,1.76952162292e-05
1448552981807730065,1.79092585313e-05
1448552981920240128,1.75740879058e-05
1448552982008448589,1.76638568519e-05
1448552982112357715,1.80402548722e-05
1448552982219339594,1.82316271093e-05
1448552982330278579,1.77004494617e-05
1448552982435815496,1.77908750629e-05
1448552982519291917,1.80286951945e-05
1448552982612678003,1.78594182216e-05
1448552982711177822,1.86647594091e-05
1448552982813707858,1.79262660822e-05
1448552982911696347,1.77374549821e-05
1448552983011523310,1.79406288225e-05
1448552983112880254,1.77738002094e-05
1448552983215961861,1.81945633813e-05
1448552983315448442,1.77390302269e-05
1448552983411401143,1.79420385393e-05
1448552983511581416,1.75516615855e-05
1448552983612045987,1.73054177139e-05
1448552983713215357,1.71635638253e-05
1448552983811888195,1.90963528439e-05
1448552983911813471,1.78692607733e-05
1448552984018392478,1.81814830285e-05
1448552984112546336,1.84498003364e-05
1448552984213200459,1.82581079571e-05
1448552984319310446,1.82959884114e-05
1448552984412874918,1.74432825588e-05
1448552984518142412,1.76045687112e-05
1448552984619887491,1.78475984285e-05
1448552984716572794,1.79562448466e-05
1448552984815312266,1.82084240805e-05
1448552984916192982,1.80935894605e-05
1448552985014861045,1.76018038474e-05
1448552985113887837,1.85183416761e-05
1448552985211770346,1.80111437658e-05
1448552985385018890,1.7991198547e-05
1448552985485543093,1.78549835255e-05
1448552985589245794,1.81855775736e-05
1448552985685033263,1.81356681423e-05
1448552985783077112,1.78986956598e-05
1448552985885045504,1.82150961336e-05
1448552985981369890,1.81570703717e-05
1448552986083605502,1.81436917046e-05
1448552986183218938,1.83743468369e-05
1448552986284330298,1.79429371201e-05
1448552986384652241,1.81227587746e-05
1448552986480595545,1.81250707101e-05
1448552986583641879,1.80427869054e-05
1448552986682097500,1.78043756023e-05
1448552986787032745,1.81288414751e-05
1448552986881991064,1.84319396794e-05
1448552986980798408,1.85243225133e-05
1448552987083866379,1.82030853466e-05
1448552987184851597,1.80157076102e-05
1448552987284100211,1.82434159797e-05
1448552987379086489,1.83108768397e-05
1448552987490301570,1.83867759915e-05
1448552987582493368,1.79699927685e-05
1448552987685318040,1.77849506144e-05
1448552987785930732,1.8508910216e-05
1448552987886304338,1.82633393706e-05
1448552988001594934,1.83567026397e-05
1448552988185534248,1.79384660441e-05
1448552988289331741,1.77622132469e-05
1448552988386095683,1.85253775271e-05
1448552988497331150,1.85381522897e-05
1448552988585459949,1.80536026164e-05
1448552988685170257,1.80452207132e-05
1448552988777800424,1.80264851224e-05
1448552988880491746,1.82038129424e-05
1448552988976331774,1.81384566531e-05
1448552989079447256,1.82119638339e-05
1448552989207745943,1.75958084583e-05
1448552989376724400,1.8235457901e-05
