%time,field.data
1448552566083384546,2.39465634877e-06
1448552566176294316,2.20656056626e-06
1448552566282689439,2.22734979616e-06
1448552566381424113,2.26390557145e-06
1448552566509190233,2.18292279897e-06
1448552566674468445,2.2615420221e-06
1448552566781696269,2.24105110647e-06
1448552566894405799,2.18074910663e-06
1448552567007756802,2.1985292733e-06
1448552567183385791,2.22927110372e-06
1448552567308767599,2.17115484702e-06
1448552567408089631,2.2407493816e-06
1448552567509020616,2.23409369937e-06
1448552567607713456,2.16084936255e-06
1448552567726771158,2.17171714212e-06
1448552567815914289,2.21482105189e-06
1448552567990321259,2.18566128751e-06
1448552568107648569,2.25110670726e-06
1448552568208003589,2.19075673158e-06
1448552568308404037,2.22542666961e-06
1448552568408530705,2.19865410145e-06
1448552568508860620,2.14898545892e-06
1448552568608592218,2.1847017706e-06
1448552568708842926,2.27414147957e-06
1448552568809080415,2.12779332287e-06
1448552568908393902,2.12852228287e-06
1448552569008165737,2.20482365876e-06
1448552569107692971,2.0942111405e-06
1448552569208935588,2.18939499064e-06
1448552569312544080,2.22653352466e-06
1448552569409193947,2.24435098062e-06
1448552569508206709,2.16984108192e-06
1448552569609044322,2.18642480831e-06
1448552569708458807,2.21385244004e-06
1448552569877376842,2.16669377551e-06
1448552569995956507,2.13081489164e-06
1448552570108298865,2.17671072278e-06
1448552570305829719,2.14094302464e-06
1448552570478549500,2.14612555283e-06
1448552570608442418,2.19909725274e-06
1448552570708135194,2.27104192163e-06
1448552570807987103,2.22014705287e-06
1448552570908354238,2.28324256568e-06
1448552571008450997,2.19635990106e-06
1448552571107769441,2.19727826334e-06
1448552571207930842,2.14870738091e-06
1448552571307839163,2.17867909669e-06
1448552571408012041,2.16310604628e-06
1448552571508898997,2.21995719585e-06
1448552571608526552,2.27448026635e-06
1448552571708196666,2.13195289689e-06
1448552571808009749,2.21760615204e-06
1448552571908057133,2.22047219722e-06
1448552572008930464,2.20715196519e-06
1448552572109305185,2.16926196117e-06
1448552572214070284,2.17990873352e-06
1448552572314488121,2.21820846491e-06
1448552572423412136,2.15962973016e-06
1448552572608607199,2.14359965867e-06
1448552572708014799,2.13041926145e-06
1448552572813392802,2.16844136958e-06
1448552572913865942,2.15532986658e-06
1448552573015546459,2.12100508179e-06
1448552573112213281,2.17884439735e-06
1448552573213960857,2.17541423808e-06
1448552573312189400,2.14957071876e-06
1448552573411545399,2.1669866328e-06
1448552573507636401,2.20249444283e-06
1448552573607814561,2.19230719267e-06
1448552573707915359,2.11235146708e-06
1448552573815685623,2.20020569941e-06
1448552573907980271,2.16490980165e-06
1448552574007694646,2.10248322219e-06
1448552574108181030,2.06145887205e-06
1448552574207619987,2.11576661968e-06
1448552574307830679,2.16955731958e-06
1448552574407736509,2.08544042835e-06
1448552574508060997,2.0302293251e-06
1448552574607904638,2.04954608307e-06
1448552574707669691,2.14393253373e-06
1448552574807653218,2.11164660868e-06
1448552574907741301,2.02765045287e-06
1448552575008222076,2.06007757697e-06
1448552575107664561,2.12540908251e-06
1448552575207909932,2.04914886126e-06
1448552575308175014,2.09647851079e-06
1448552575408022083,2.0040936306e-06
1448552575507936526,2.07570246857e-06
1448552575607657291,2.10921780308e-06
1448552575707638380,2.0857310119e-06
1448552575823715732,2.08454162021e-06
1448552575978105047,1.99153009817e-06
1448552576076624856,2.14251144826e-06
1448552576175219856,1.99290002456e-06
1448552576276033327,2.02203818844e-06
1448552576377322584,2.05605533665e-06
1448552576478205611,2.01322200155e-06
1448552576586905432,2.06924369195e-06
1448552576778326580,1.98146676667e-06
1448552576886666196,1.98137968255e-06
1448552577085890881,1.9816409349e-06
1448552577181668892,1.93284199668e-06
1448552577306210082,2.05431160794e-06
1448552577407680553,2.04339744414e-06
1448552577579415321,2.06272443393e-06
1448552577680815247,1.95371057998e-06
1448552577778479654,1.96855444301e-06
1448552577876767239,2.08267124435e-06
1448552577978275746,2.03921194952e-06
1448552578076161204,2.06712888939e-06
1448552578176272407,1.89453658095e-06
1448552578280283872,1.96749397219e-06
1448552578393108012,2.01205534722e-06
