#Truth	org_40/mean		org_40/variance	org_60/mean		org_60/variance	org_80/mean		org_80/variance
0.6	0.60675267756931	0.00675267756931	1.45263388117561E-06	0.60672996063081	0.00672996063081	1.41643305440198E-06	0.60676138173966	0.00676138173966	1.4779057181162E-06
0.8	0.80308831001029	0.00308831001029	5.41363868348178E-07	0.80316327599918	0.00316327599918	6.33682322975379E-07	0.80331341659322	0.00331341659322	9.27154489130878E-07
1	1.00116511423196	0.00116511423196	2.66165052176911E-06	1.00126939389243	0.00126939389243	2.33851855736087E-06	1.00139908470325	0.00139908470325	2.44705406250649E-06
1.2	1.20063801322665	0.00063801322665	7.82845730403399E-06	1.20094652797865	0.00094652797865	7.14724940605395E-06	1.20147210445957	0.00147210445957	7.60641310277962E-06
1.4	1.40129913245478	0.00129913245478	1.44021350640668E-05	1.40158887255576	0.00158887255576	1.53170852231157E-05	1.40221652100163	0.00221652100163	1.58011227481878E-05
1.6	1.6018200622846	0.0018200622846	1.40378540093741E-05	1.60216488903516	0.00216488903516	1.29810200695368E-05	1.60238044719173	0.00238044719173	1.31776381350977E-05
1.8	1.80086325908053	0.00086325908053	2.66413422543658E-05	1.80224091764809	0.00224091764809	2.277324932473E-05	1.80265636893286	0.00265636893286	2.28010418836407E-05
2	2.01067533800679	0.01067533800679	3.42720107460815E-05	2.01141193989784	0.01141193989784	3.22666154903663E-05	2.01149782826824	0.01149782826824	3.19874752089926E-05
