#Truth	gauss_40/mean		gauss_40/variance	gauss_60/mean		gauss_60/variance	gauss_80/mean		gauss_80/variance
0.6	0.60675484593958	0.00675484593958	9.92654819246156E-07	0.60673398710787	0.00673398710787	9.9148329280041E-07	0.60678198068373	0.00678198068373	1.07775002238815E-06
0.8	0.803092693937	0.003092693937	3.1734390404381E-07	0.80316959688629	0.00316959688629	4.14715903692316E-07	0.80331138078717	0.00331138078717	6.89495034599368E-07
1	1.00116953743038	0.00116953743038	1.81522101904579E-06	1.00127701198353	0.00127701198353	1.56696300374319E-06	1.00140566717495	0.00140566717495	1.74174386880953E-06
1.2	1.20061330795288	0.00061330795288	5.73566285970299E-06	1.20095218590328	0.00095218590328	5.06532184252657E-06	1.20146462710007	0.00146462710007	5.52893327725199E-06
1.4	1.40128830940493	0.00128830940493	9.35134633690439E-06	1.40160202980042	0.00160202980042	1.0035133131638E-05	1.40223070050849	0.00223070050849	1.08577161553825E-05
1.6	1.60181979937096	0.00181979937096	7.97493828966407E-06	1.60215590751334	0.00215590751334	7.78475475882472E-06	1.60238888031907	0.00238888031907	8.32431873866778E-06
1.8	1.80088995677837	0.00088995677837	1.72929238113498E-05	1.8022229274114	0.0022229274114	1.50679423946396E-05	1.80266313276429	0.00266313276429	1.54803626762313E-05
2	2.01066059157962	0.01066059157962	2.88183983073276E-05	2.01140696661813	0.01140696661813	2.56739507359083E-05	2.01153829840363	0.01153829840363	2.49214582090346E-05
