#Truth	mean_40/mean		mean_40/variance	mean_60/mean		mean_60/variance	mean_80/mean		mean_80/variance
0.6	0.60678501613438	0.00678501613438	1.05771002764081E-06	0.60677204467356	0.00677204467356	1.04814811408005E-06	0.60678933188319	0.00678933188319	1.14442129613728E-06
0.8	0.80303575681603	0.00303575681603	3.89658423401947E-07	0.80312458760496	0.00312458760496	5.02414456730258E-07	0.8032939079879	0.0032939079879	7.85422183702421E-07
1	1.00112143684836	0.00112143684836	2.30714410341235E-06	1.00121872565326	0.00121872565326	1.99704784703874E-06	1.00136160675217	0.00136160675217	2.10770622977703E-06
1.2	1.20056037391935	0.00056037391935	7.11492372130928E-06	1.20094075032643	0.00094075032643	6.25501536108329E-06	1.20144240345274	0.00144240345274	6.62677372099057E-06
1.4	1.40124102753978	0.00124102753978	1.16248411212573E-05	1.40160236820098	0.00160236820098	1.28216243966664E-05	1.40220493929727	0.00220493929727	1.30770685558912E-05
1.6	1.60183514960825	0.00183514960825	9.68192293391478E-06	1.60209842577373	0.00209842577373	9.82451908655364E-06	1.60227201436017	0.00227201436017	1.04742611909669E-05
1.8	1.8005115001098	0.0005115001098	2.32776733553138E-05	1.80216682475546	0.00216682475546	1.96395218933633E-05	1.80262764351709	0.00262764351709	1.97414929329277E-05
2	2.01050144528586	0.01050144528586	3.07877071175007E-05	2.0112063354916	0.0112063354916	2.9988389845433E-05	2.01136089885046	0.01136089885046	2.98984936695187E-05
