#Truth	mean10_40/mean		mean10_40/variance	mean10_60/mean		mean10_60/variance	mean10_80/mean		mean10_80/variance
0.6	0.60675355839351	0.00675355839351	1.24651702237084E-06	0.60672794542615	0.00672794542615	1.2187558020571E-06	0.60677474358725	0.00677474358725	1.28439883795295E-06
0.8	0.8030920423129	0.0030920423129	4.35238644223463E-07	0.80316706440028	0.00316706440028	5.27017297589855E-07	0.80331420021899	0.00331420021899	8.16058458064578E-07
1	1.00116626362302	0.00116626362302	2.31538453643974E-06	1.00126907362867	0.00126907362867	2.03312266869523E-06	1.00140453630419	0.00140453630419	2.16527867196954E-06
1.2	1.20063165478084	0.00063165478084	7.01285700310162E-06	1.20094444613526	0.00094444613526	6.30832940779718E-06	1.20147746023924	0.00147746023924	6.72171747412774E-06
1.4	1.40123138120097	0.00123138120097	1.25577877360416E-05	1.40152953132506	0.00152953132506	1.32737257063714E-05	1.402194867211	0.002194867211	1.39033718809397E-05
1.6	1.60181566359292	0.00181566359292	1.16060732393199E-05	1.60214462508894	0.00214462508894	1.08904513494153E-05	1.60236927254559	0.00236927254559	1.1171685637486E-05
1.8	1.80084627516129	0.00084627516129	2.29049781911021E-05	1.80220677747446	0.00220677747446	1.9528043950508E-05	1.80262493050617	0.00262493050617	1.96580996366127E-05
2	2.01068179069027	0.01068179069027	3.17258083610326E-05	2.01141497012108	0.01141497012108	2.92940393202506E-05	2.01151142966363	0.01151142966363	2.87290827795264E-05
