#Truth	bilat_40/mean		bilat_40/variance	bilat_60/mean		bilat_60/variance	bilat_80/mean		bilat_80/variance
0.6	0.60675880120647	0.00675880120647	8.41243111615597E-07	0.60673464305939	0.00673464305939	8.51865227247117E-07	0.60677742188977	0.00677742188977	9.55344759089572E-07
0.8	0.80309504092629	0.00309504092629	2.6001786622693E-07	0.80317425816806	0.00317425816806	3.57521267058447E-07	0.80330852163372	0.00330852163372	6.29670433584449E-07
1	1.00117107051792	0.00117107051792	1.58557764126165E-06	1.00128117294023	0.00128117294023	1.37202458331971E-06	1.00140548474861	0.00140548474861	1.55892807055459E-06
1.2	1.20060972545458	0.00060972545458	5.14631764677428E-06	1.20095665558525	0.00095665558525	4.50320180139637E-06	1.20146311711574	0.00146311711574	4.98068585060742E-06
1.4	1.40128901942832	0.00128901942832	7.82394613091287E-06	1.40161607109132	0.00161607109132	8.51195435360318E-06	1.40222399547452	0.00222399547452	9.53802862113662E-06
1.6	1.60181540670529	0.00181540670529	6.32075523454871E-06	1.60215380997725	0.00215380997725	6.41355721124152E-06	1.60238574445248	0.00238574445248	7.07577551971504E-06
1.8	1.80090024851371	0.00090024851371	1.5202156330064E-05	1.80221995236217	0.00221995236217	1.32948362606576E-05	1.802677285844	0.002677285844	1.36653428074039E-05
2	2.01065937808303	0.01065937808303	2.7533182739197E-05	2.01140065662196	0.01140065662196	2.41718779925875E-05	2.01153787628549	0.01153787628549	2.32359390562153E-05
