#Truth	median_40/mean		median_40/variance	median_60/mean		median_60/variance	median_80/mean		median_80/variance
0.6	0.60679784897835	0.00679784897835	1.37684335399513E-06	0.6067726071924	0.0067726071924	1.33362405918547E-06	0.60680162999779	0.00680162999779	1.39229449440527E-06
0.8	0.80309777829184	0.00309777829184	5.33340744862906E-07	0.80317233438077	0.00317233438077	6.25374226452234E-07	0.80332609276841	0.00332609276841	9.14765061523538E-07
1	1.00118416186535	0.00118416186535	2.61582279309176E-06	1.00128707640311	0.00128707640311	2.29961058801778E-06	1.00141457424444	0.00141457424444	2.39920540011416E-06
1.2	1.20067387387372	0.00067387387372	7.72439359155084E-06	1.20098862137113	0.00098862137113	7.02504695644685E-06	1.20151725326266	0.00151725326266	7.47986229290963E-06
1.4	1.40133032837852	0.00133032837852	1.41348728715139E-05	1.40160992453175	0.00160992453175	1.499650180713E-05	1.40227075796279	0.00227075796279	1.55211742434195E-05
1.6	1.60190439392144	0.00190439392144	1.38664365688267E-05	1.60220921529482	0.00220921529482	1.27705692125035E-05	1.60242553981575	0.00242553981575	1.30274344537355E-05
1.8	1.80090023314252	0.00090023314252	2.63449493494201E-05	1.80228397811669	0.00228397811669	2.22056453334306E-05	1.80270781006132	0.00270781006132	2.2303513426724E-05
2	2.01074083125005	0.01074083125005	3.37580647268739E-05	2.01146881542509	0.01146881542509	3.15737628019027E-05	2.01157060123625	0.01157060123625	3.14115021582006E-05
